Name	..NM89_RPMI_salmon.quant.sf	..NM90_RPMI_HS5_salmon.quant.sf	..NM91_MM1S_salmon.quant.sf	..NM92_MM1S_HS5_salmon.quant.sf	..NM95_KMS11_salmon.quant.sf	..NM96_KMS11_HS5_salmon.quant.sf
LINC00924	40.2405	34.2896	11.1113	23.4244	14.5906	1.37588
LINC00926	115.02799999999999	106.7015	42.86646	41.74252	7.86883	5.09213
LINC00933	128.81185	107.05474	48.7579	62.0633	18.1202	12.7549
LINC00934	27.1455	11.5097	17.9781	31.4478	3.5522400000000003	4.08559
LINC00936	34.4539	68.3713	15.4269	30.3192	11.7102	12.1363
LINC00937	124.29911000000001	190.5078	1732.1694	2015.0166	123.36256999999999	210.91407999999998
LINC00939	191.0898	178.5401	75.416	92.1588	13.04439	17.21545
LINC00941	25.61959	191.0345	10.3749	63.422230000000006	4.17094	11.69927
LINC00942	14.5621	22.6374	32.6123	18.0605	13.6314	17.9603
LINC00945	23.01	14.01	5.01	7.01	7.01	4.01
LINC00950	364.251	204.922	81.7381	84.8179	7.017189999999999	26.553
LINC00954	19.2672	24.0008	14.84186	19.15793	1.0569899999999999	2.43182
LINC00955	1.03155	3.1282900000000002	1.05567	1.06839	1.03293	1.04472
LINC00957	2692.5535	1733.0409	1322.547	1978.2717	461.1405	587.2458
LINC00958	66.98338000000001	95.2753	24.473010000000002	24.925639999999998	14.5069	19.579520000000002
LINC00959	69.9222	44.4265	47.1319	31.7097	9.368210000000001	8.36093
LINC00960	432.82300000000004	517.6046	356.3419	558.6126	111.23299999999999	110.6646
LINC00963	11892.21379	10465.970870000001	820.39563	1268.70732	1570.87106	2138.53152
LINC00964	18.09464	16.07454	1.05875	4.66261	5.02988	2.3385700000000003
LINC00967	38.64	34.9429	38.5208	6.93593	8.939210000000001	4.62562
LINC00968	122.01	64.7985	20.01	41.02	6.01	8.02
LINC00969	2590.6286800000003	3830.1986100000004	3782.2612	4487.33665	661.09995	787.2756099999999
LINC00970	14.4638	4.08263	2.08221	5.80536	1.90419	4.18551
LINC00976	842.9927	575.4968	263.95927	437.92798	117.48	182.45764
LINC00987	53.8789	84.9032	91.9366	110.48200000000001	10.1762	21.0334
LINC00992	55.01	30.3629	71.02	237.01	26.01	13.01
